time, temp
0, 210
25, 204
34, 200
42, 198
54, 196
63, 194
80, 192
89, 190
103, 188
115, 186
131, 184
145, 182
158, 180
175, 178
195, 176
213, 174
225, 172
250, 170
274, 168
298, 166
315, 164
335, 162
353, 160
387, 158
411, 156
440, 154
475, 152
492, 150
520, 150
530, 148
550, 148
560, 147
570, 146
585, 145
600, 144
610, 144
620, 144
630, 143
640, 143
647, 142
660, 142
670, 141
680, 141
690, 140
700, 140
710, 139.5
720, 139
730, 139
740, 138
750, 138
760, 137
770, 137
778, 136
790, 136
800, 136
810, 135
820, 135
830, 134
840, 134
850, 133
860, 133
870, 133
880, 132.5
890, 132
900, 132
910, 131
920, 131
930, 131
940, 130
950, 130
960, 129.5
970, 129
980, 129
990, 128.5
1000, 128
1010, 128
1020, 128
1030, 127.5
1040, 127
1050, 127
1060, 126
1070, 126
1080, 126
1090, 125.5
1100, 125
1110, 125
1120, 124.5
1130, 124
1140, 124
1150, 123.5
1160, 123
1170, 123
1180, 122.5
1190, 122
1200, 122
1210, 122
1220, 121.5
1230, 121
1240, 121
1250, 121
1260, 120.5
1270, 120.5
1280, 120
1300, 120
1340, 119
1356, 118
1380, 117
1418, 116
1725, 111
1740, 110.5
1825, 109
1890, 108
1955, 107
2022, 106
2077, 105
2160, 104
2244, 103
2320, 102
2408, 101
2473, 100
2613, 99
